director,number_of_title,vote_average
John Lasseter|Lee Unkrich|Ash Brannon,1,7.2
John Lasseter|Victor Navone|Rob Gibbs,1,6.2
John Lee Hancock,4,6.574999999999999
John Llewellyn Moxey,1,6.1
John Lounsbery|Wolfgang Reitherman,1,7.1
John Lounsbery|Wolfgang Reitherman|Art Stevens,1,6.6
John Luessenhop,2,5.75
John Lyde,3,4.8999999999999995
John Mackenzie,2,6.5
John Maclean,1,6.6
John Madden,8,6.187500000000001
John Maloof|Charlie Siskel,1,7.8
John Mathew Matthan,1,7.0
John Maybury,3,6.466666666666666
John McKay,1,6.0
John McNaughton,4,5.824999999999999
John McTiernan,10,6.18
John Michael McDonagh,2,6.8
John Milius,6,6.333333333333333
John Moffitt,2,6.95
John Moore,5,5.4
John Musker|Ron Clements,1,7.0
John N. Smith,1,6.5
John Newland,1,5.9
John Nicolella,1,5.7
John O. Hartman|Nicholas Mross,1,4.5
John Ottman,1,4.3
John Paragon,1,6.1
John Pasquin,4,5.6000000000000005
John Patrick Shanley,2,5.95
John Payson,1,4.8
John Pieplow,1,4.8
John Pogue,2,4.699999999999999
John Poliquin,1,5.1
John Polson,2,5.65
John Power,1,4.9
John Puglisi,1,6.5
John Putch,4,4.975
John R. Cherry III,4,5.925
John R. Leonetti,3,4.633333333333334
John Ridley,1,5.3
John Robert Hoffman,1,4.9
John Roberts,1,5.9
John Sayles,2,6.949999999999999
John Schlesinger,10,6.04
John Schultz,3,5.533333333333334
John Shiban,1,5.0
John Simpson,1,5.0
John Singleton,9,6.388888888888888
John Slattery,1,5.2
John Stainton,1,5.2
John Stalberg,1,5.0
John Stephenson,2,5.5
John Stimpson,1,6.2
John Stockwell,11,5.636363636363637
John Sturges,5,6.419999999999999
John Suits,1,4.3
John Suits|Gabriel Cowan,1,3.6
John Swanbeck,1,6.5
John Swetnam,1,5.7
John Turturro,2,5.8
John Warren,1,4.7
John Waters,8,5.9625
John Wayne,2,5.9
John Wells,3,6.5
John Whitesell,6,5.233333333333333
John Woo,6,5.916666666666667
Johnnie To,1,7.0
Johnny Depp,1,6.0
Joko Anwar,1,5.3
Jon Amiel,6,6.033333333333334
Jon Avnet,7,6.071428571428571
Jon Burton,1,6.2
Jon Cassar,2,6.199999999999999
Jon Drever,1,5.4
Jon Favreau,7,6.385714285714286
Jon Gunn,1,7.0
Jon Harris,1,6.0
Jon Hewitt,1,5.3
Jon Hurwitz|Hayden Schlossberg,2,6.0
Jon Jones,3,5.966666666666666
Jon Kasdan,2,6.55
Jon Knautz,2,5.45
Jon M. Chu,6,6.133333333333334
Jon Poll,1,6.4
Jon S. Baird,1,6.6
Jon Schnepp,1,6.8
Jon Stewart,1,6.6
Jon Turteltaub,10,6.13
Jon Watts,2,5.35
Jon Wright,3,5.066666666666667
Jonah Loop,1,5.0
Jonah Markowitz,1,7.6
Jonas Barnes|Michael Manasseri,1,4.7
Jonas Elmer,1,5.3
Jonas McCord,1,4.5
Jonas Pate,2,6.3
Jonas Ã…kerlund,4,6.300000000000001
Jonathan Dayton|Valerie Faris,2,7.1
Jonathan Demme,9,6.533333333333333
Jonathan English,3,4.9
Jonathan Frakes,6,5.55
Jonathan Glazer,3,6.2
Jonathan Hensleigh,2,6.4
Jonathan Judge,1,6.6
Jonathan Kaplan,6,6.066666666666667
Jonathan King,1,5.5
Jonathan Levine,5,6.220000000000001
Jonathan Liebesman,6,5.550000000000001
Jonathan Lisecki,1,5.2
Jonathan Lynn,9,5.933333333333333
Jonathan M. Gunn,1,7.4
Jonathan M. Shiff,1,7.1
Jonathan Mostow,4,6.025
Jonathan Newman,2,6.050000000000001
Jonathan Prince,1,5.6
Jonathan R. Betuel,1,5.6
Jonathan Sobol,1,6.1
Jonathan Teplitzky,2,6.65
Jonathan Wright,2,6.300000000000001
Jonathan Zarantonello,1,5.7
Jonathon Narducci,1,7.0
Jonny Campbell,1,5.5
JonÃ¡s CuarÃ³n,1,6.8
Jordan Barker,1,4.7
Jordan Brady,1,6.2
Jordan Downey,1,4.1
Jordan Galland,1,6.1
Jordan Melamed,1,6.6
Jordan Roberts,1,5.2
Jordan Rubin,1,4.8
Jordan Scott,1,6.5
Jordan Vogt-Roberts,2,6.75
Jorge Blanco|Javier Abad|Marcos MartÃ­nez,1,5.7
Jorge Dorado,1,6.5
Jorge Michel Grau,1,4.2
Jorge Montesi|Dominique Othenin-Girard,1,4.6
Jorge R. Gutierrez,1,7.3
Jorge RamÃ­rez SuÃ¡rez,1,8.4
Jorma Taccone,1,5.2
Jose Montesinos,1,3.5
Josef Fares,1,6.1
Josef Rusnak,4,5.2250000000000005
Joseph Barbera|William Hanna,1,5.8
Joseph Garner,1,5.9
Joseph Gordon-Levitt,1,5.9
Joseph Graham,1,4.4
Joseph Green,1,4.9
Joseph Guzman,1,3.6
Joseph Hahn,1,5.0
Joseph J. Lawson,3,4.233333333333333
Joseph Kahn,3,6.033333333333334
Joseph Kosinski,2,6.3
Joseph L. Mankiewicz,2,6.9
Joseph L. Mankiewicz|Rouben Mamoulian|Darryl F. Zanuck,1,6.3
Joseph Losey,2,6.050000000000001
Joseph Ruben,8,5.9625
Joseph Sargent,4,6.050000000000001
Joseph Vilsmaier,1,6.6
Joseph Zito,5,5.18
Josh Appignanesi,1,5.9
Josh Becker,2,4.25
Josh Boone,2,7.5
Josh C. Waller,1,5.0
Josh Cooley,2,6.5
Josh Forbes,1,5.0
Josh Fox,1,7.0
Josh Gordon|Will Speck,2,5.85
Josh Lawson,1,6.2
Josh Lowell|Peter Mortimer|Nick Rosen,1,7.9
Josh Mond,1,5.2
Josh Oreck,1,6.5
Josh Radnor,2,6.25
Josh Reed,1,5.0
Josh Schwartz,1,5.4
Josh Trank,2,5.45
Joshua Grannell,1,5.4
Joshua Logan,1,5.1
Joshua Michael Stern,3,6.0
Joshua Oppenheimer,1,7.8
Joshua Seftel,1,5.5
Joshua Zeman|Barbara Brancaccio,1,6.1
Joshua Zeman|Rachel Mills,1,5.4
Joss Whedon,5,7.359999999999999
JosÃ© Luis Cuerda,1,6.5
JosÃ© Manuel Cravioto,1,5.4
JosÃ© Padilha,1,5.7
JosÃ© Padilha|Felipe Lacerda,1,7.6
Jourdan McClure,1,5.2
Juan Antonio Bayona,1,6.8
Juan Carlos Fresnadillo,2,5.75
Juan Carlos Medina,1,5.9
Juan Diego Solanas,1,6.1
Juan Pablo Buscarini,1,4.9
Juan Piquer SimÃ³n,2,4.8
Judd Apatow,5,5.86
"Jules Bass|Arthur Rankin, Jr.",6,6.533333333333334
Jules Dassin,1,5.2
Julia Leigh,1,5.4
Julian Farino,2,6.35
Julian Fellowes,1,5.0
Julian Gilbey,3,6.466666666666666
Julian Jarrold,6,6.233333333333334
Julian Schnabel,2,6.1
Julie Anne Robinson,2,6.0
Julie Bertuccelli,1,6.7
Julie Delpy,4,5.775
Julie Taymor,4,6.65
Julien Magnat,1,5.7
Julien Nitzberg,1,5.7
Julien Temple,5,6.34
Julio DePietro,1,5.6
Julius Avery,1,6.1
Juliusz Machulski,1,6.8
Jun Falkenstein,1,6.5
Jun Falkenstein|Bradley Raymond|Toby Shelton|Bill Speers,1,6.6
Jun Fukuda,1,5.7
Jung Geun-sub,1,7.0
Juno John Lee,1,5.9
Juraj Jakubisko,1,5.7
Just Jaeckin,2,4.8
Justin Benson|Aaron Moorhead,1,5.9
Justin Chadwick,3,6.1000000000000005
Justin Dix,1,4.0
Justin Jones,1,3.3
Justin Kerrigan,1,6.8
Justin Kurzel,2,6.35
Justin Lin,6,6.433333333333334
Justin Reardon,1,5.6
Justin Russell,1,2.2
Justin Simien,1,6.2
Justin Trefgarne,1,4.4
Justin Zackham,1,5.6
JÃ©rÃ´me Cornuau,1,5.8
JÃ©rÃ´me Salle,3,6.366666666666667
K. Asher Levin,1,5.5
K.C. Bascombe,1,5.0
Kaare Andrews,2,4.699999999999999
Kaleb Lechowski,1,6.3
Karan Johar,2,7.1
Karan Malhotra,1,6.3
Karel Reisz,2,6.15
Karen Disher,2,6.65
Karen Disher|Guy Moore,1,7.3
Karen J. Lloyd,2,6.5
Karen Leigh Hopkins,1,4.6
Karen Moncrieff,3,6.1000000000000005
Karen Shakhnazarov,1,7.4
Karey Kirkpatrick,1,5.7
Kari Skogland,4,4.75
Karl DiPelino,1,4.1
Karl Geurs,1,6.5
Karl Mueller,1,5.0
Karyn Kusama,4,5.800000000000001
Karzan Kader,1,6.4
Kasi Lemmons,3,6.133333333333333
Kasper Barfoed,1,5.2
Kat Candler,1,5.3
Kat Coiro,3,5.3999999999999995
Kate Barker-Froyland,1,5.7
Kate Davis|David Heilbroner,1,5.3
Katherine Brooks,1,6.6
Katherine Dieckmann,1,5.1
Kathi Castillo,1,6.4
Kathryn Bigelow,8,6.25
Katie Aselton,1,4.8
Katie Graham|Andrew Matthews,1,5.8
Katja von Garnier,2,5.949999999999999
Katt Shea,2,5.199999999999999
Kazuaki Kiriya,1,6.3
Kazuhisa TakenÃ´chi,1,7.2
Keanu Reeves,1,5.6
Keenen Ivory Wayans,6,6.016666666666666
Keith Arem,1,5.9
Keith Fulton|Louis Pepe,1,7.0
Keith Gordon,1,5.5
Keith Parmer,1,4.4
Keith Scholey|Alastair Fothergill,1,7.0
Keith Truesdell,1,7.4
Kelly Asbury,1,5.7
Kelly Asbury|Lorna Cook,1,7.1
Kelly Dolen,1,6.2
Kelly Makin,3,5.433333333333333
Kelly Reichardt,4,6.275
Kelly Smith,1,3.5
Kelsey Mann,1,6.9
Ken Annakin,4,6.300000000000001
Ken Annakin|Andrew Marton|Bernhard Wicki,1,6.9
Ken Finkleman,1,5.7
Ken Hughes,1,6.6
Ken Kwapis,7,5.728571428571429
Ken Kwapis|Marisa Silver,1,5.2
Ken Loach,10,6.4
Ken Russell,8,5.575000000000001
Ken Sanzel,1,4.4
Ken Scott,2,5.5
Ken Wiederhorn,2,5.5
Kenneth Anger,1,5.7
Kenneth Branagh,10,6.57
Kenneth Johnson,4,5.525
Kenneth Lonergan,2,6.0
Kenneth R. Koch,1,4.7
Kenny Gage|Devon Downs,1,5.6
Kenny Leon,1,6.3
Kenny Ortega,8,6.1000000000000005
Kensho Yamashita,1,5.3
Kent Alterman,1,5.3
Kent Jones,1,7.2
Kent Moran,1,5.3
Keoni Waxman,7,4.928571428571429
Kern Saxton,1,5.2
Kerry Bellessa,1,5.0
Kerry Conran,1,5.7
Kevin Allen,2,5.449999999999999
Kevin Asch,1,6.1
Kevin Bacon,1,4.5
Kevin Barker,1,5.0
Kevin Bray,2,6.2
Kevin Carraway,2,4.3
Kevin Connor,4,5.8
Kevin Costner,3,6.733333333333333
Kevin Deters|Stevie Wermers,4,6.8
Kevin Donovan,1,5.3
Kevin Dowling|Geoff Burton,1,5.0
Kevin Goetz|Michael Goetz,2,5.55
Kevin Greutert,4,5.55
Kevin Hamedani,1,3.7
Kevin Heffernan,1,6.0
Kevin Hooks,3,5.266666666666667
Kevin Hooks|Brad Turner,1,7.6
Kevin King,1,3.5
Kevin Kolsch|Dennis Widmyer,1,5.8
Kevin Lima,3,5.3999999999999995
Kevin Lima|Paul Brizzi,1,6.6
Kevin Macdonald,7,6.7714285714285705
Kevin Macdonald|Zillah Bowes,1,7.3
Kevin Munroe,2,5.45
Kevin O'Neill,1,3.7
Kevin Reynolds,8,6.437500000000001
Kevin Rodney Sullivan,3,5.866666666666667
Kevin Smith,11,6.218181818181819
Kevin Spacey,2,6.0
Kevin Sullivan,2,7.65
Kevin Tancharoen,3,6.266666666666667
Kevin Tenney,3,4.633333333333334
Kevin Williamson,1,5.3
Kevin Yagher,1,4.8
Khalil Sullins,1,5.3
Khoa LÃª,1,6.2
Ki-hwan Oh,1,6.0
Kiah Roache-Turner,1,6.0
Kief Davidson|Daniel Junge,1,6.5
Kieran Darcy-Smith,1,5.2
Kieran Mulroney|Michele Mulroney,1,5.6
Kieth Merrill,1,4.7
Kim Chapiron,1,7.7
Kim Farrant,1,5.0
Kim Henkel,1,3.9
Kim Jee-woon,1,5.7
Kim Jin-Yeong,1,6.1
Kim Nguyen,1,5.6
Kimberly Peirce,3,6.3
Kimble Rendall,1,5.2
King Hu|Tsui Hark|Ann Hui|Ching Siu-Tung|Raymond Lee Wai-Man,1,6.9
Kinka Usher,1,5.4
Kip Anderson|Keegan Kuhn,1,7.6
Kiran Rao,1,6.4
Kirby Dick,3,7.233333333333334
Kirk De Micco,1,5.1
Kirk De Micco|Chris Sanders,1,6.8
Kirk Jones,4,6.449999999999999
Kirk R. Thatcher,1,4.5
Kirk Wong,2,6.3
Kirsten Sheridan,1,6.9
Kit Ryan,1,6.4
Kjell Sundvall,2,6.6
Klay Hall,2,6.1
Kleber MendonÃ§a Filho,1,6.1
Koen Mortier,1,6.5
Kohl Glass,1,3.9
Kostas Ouzas|Nick Kozakis,1,3.9
Kris Isacsson,1,4.7
Kris Swanberg,1,5.7
Krishna D.K.|Raj Nidimoru,2,5.35
Krishna Rao,1,4.8
Kristin Hanggi,2,6.3
Kristina Buozyte,1,5.6
Kristina Goolsby|Ashley York,1,7.2
Kristine Peterson,1,4.5
Kristopher Belman,1,6.4
Kriv Stenders,2,6.199999999999999
Krzysztof KieÅ›lowski,1,7.5
Kunihiko Yuyama,1,5.7
Kurando Mitsutake,1,4.7
Kurt Engfehr,1,6.5
Kurt Kuenne,2,7.2
Kurt Mattila,1,5.0
Kurt Voss,1,4.4
Kurt Wimmer,2,5.95
Kyle Balda|Julien Soret,1,5.9
Kyle Balda|Pierre Coffin,1,6.5
Kyle Balda|Samuel Tourneux,3,7.1000000000000005
Kyle Newman,2,5.8
Kyle Patrick Alvarez,2,6.0
Kyle Rankin,2,5.75
Kyung Ho Lee,1,4.7
Kyungmin Woo,1,7.8
L. Gustavo Cooper,1,4.0
L.Q. Jones,1,6.3
Lajos Koltai,2,5.800000000000001
Lake Bell,1,6.4
Lamberto Bava,1,5.4
Lamont Johnson,1,5.1
Lana Wachowski|Lilly Wachowski,3,5.766666666666667
Lance Bangs,1,6.6
Lance Daly,1,4.8
Lance Hool,2,4.7
Lance Mungia,2,4.6
Lara Shapiro,1,5.3
Larry Bishop,1,5.7
Larry Charles,4,6.1
Larry Clark,4,6.3
Larry Clark|Edward Lachman,1,5.4
Larry Cohen,3,5.266666666666667
Larry Ferguson,1,5.3
Larry Fessenden,1,5.9
Larry Latham,2,5.9
Larry Leker|Paul Sabella,1,4.8
Larry Peerce,1,6.0
Larry Roemer,1,6.8
Larry Shaw,1,5.1
Lars Jacobson|Amardeep Kaleka,1,4.9
Lars von Trier,7,6.614285714285715
Lars von Trier|JÃ¸rgen Leth,1,5.7
Larysa Kondracki,1,6.7
Lasse HallstrÃ¶m,13,6.684615384615385
Laura Craig Gray|Tristan Quinn,1,6.2
Laura Dern|Bryce Dallas Howard|Bonnie Hunt|Ashley Judd|Sharon Maguire,1,5.5
Laura Poitras,1,7.8
Lauren Greenfield,1,6.8
Lauren Lazin,1,8.0
Lauren MacMullan,1,7.8
Lauren Montgomery,5,6.779999999999999
Lauren Montgomery|Bruce Timm,1,6.4
Laurence Dunmore,1,5.7
Laurence Malkin,1,6.1
Laurent Baffie,1,4.8
Laurent Bernier,1,6.7
Laurent Boutonnat,1,6.4
Laurent Bouzereau,1,7.2
Laurent Malaquais,1,5.8
Laurent Tirard,3,6.066666666666666
Laurent Tuel,1,5.6
Laurie Collyer,1,6.5
Laurieann Gibson,1,7.7
Lawrence Guterman,2,4.45
Lawrence Jordan,1,7.1
Lawrence Kasanoff,1,2.2
Lawrence Kasdan,10,6.01
Lawrence Roeck,1,6.8
Lawrence Shapiro,1,6.9
Lawrence Silverstein,1,4.1
LazRael Lison,1,3.5
LaÃ­s Bodanzky,1,6.4
LeVar Burton,1,4.7
Lee Daniels,4,6.225
Lee Demarbre,1,4.8
Lee Friedlander,1,5.9
Lee Fulkerson,1,6.7
Lee H. Katzin,1,6.8
Lee Harry,1,5.5
Lee Hirsch,1,7.5
Lee Kirk,1,5.8
Lee Myung-Se,1,5.2
Lee Tamahori,8,6.075
Lee Toland Krieger,3,6.666666666666667
Lee Unkrich,1,7.5
Lee Unkrich|David Silverman|Pete Docter,1,7.3
Leigh Janiak,1,5.3
Leigh Scott,2,2.9
Leigh Whannell,1,6.3
Len Wiseman,4,6.2250000000000005
Lena Dunham,1,5.8
Lenard Fritz Krawinkel|Holger Tappe,1,5.2
Lenny Abrahamson,3,6.566666666666667
Leo Riley,1,6.2
Leon Ford,1,6.0
Leon Gast,1,7.0
Leon Gast|Ryan Moore,1,6.6
Leon Joosen|Aaron Seelman,1,5.2
Leonard Nimoy,3,6.266666666666666
Leonardo Pieraccioni,1,6.6
Leone Marucci,1,4.7
Leos Carax,1,6.7
Les Mayfield,7,5.571428571428572
Lesli Linka Glatter,1,6.3
Leslie H. Martinson,1,5.9
Leslie Iwerks,1,7.3
Leslie Small,1,7.1
Leslie Small|Tim Story,1,7.6
Leslye Headland,2,5.75
Lev L. Spiro,3,5.3999999999999995
Levan Bakhia,1,5.7
Levan Bakhia|Beqa Jguburia,1,5.4
Levan Gabriadze,1,5.6
Lewis Gilbert,7,5.742857142857145
Lewis John Carlino,1,6.4
Lewis Milestone,2,6.3
Lewis Teague,5,5.74
Lexi Alexander,2,6.25
Leythum,2,6.9
Liam Lynch,1,6.2
Liev Schreiber,1,7.4
Lili Fini Zanuck,1,7.3
Liliana Cavani,2,6.05
Lilly Wachowski|Lana Wachowski,3,6.933333333333333
Lilly Wachowski|Lana Wachowski|Tom Tykwer,1,6.5
Lina WertmÃ¼ller,1,6.4
Linda Bloodworth-Thomason,1,7.1
Lindsay Anderson,2,5.9
Lionel Baier,1,5.8
Lisa Azuelos,3,5.966666666666666
Lisa Barros D'Sa|Glenn Leyburn,2,6.1
Lisa Cholodenko,4,6.25
Lisa Gottlieb,1,6.1
Lisa James Larsson,1,5.6
Lisanne Pajot|James Swirsky,1,7.3
Liu Chia-Liang,1,6.7
Liv Ullmann,1,5.4
Liz Friedlander,1,6.4
Liz Garbus,4,6.675
Liz Tuccillo,1,5.6
Liz W. Garcia,1,5.2
Liza Johnson,1,5.0
Lloyd Kaufman,4,5.75
Lloyd Kaufman|Michael Herz,1,6.2
Lloyd Kramer,2,5.5
LluÃ­s QuÃ­lez,1,4.5
Lodge Kerrigan,1,6.3
Logan Miller,1,5.7
Lone Scherfig,3,6.533333333333334
Lorene Scafaria,1,6.2
Lori Petty,1,6.2
Lou Adler,1,6.5
Louie Psihoyos,2,7.85
Louis C.K.,5,7.360000000000001
Louis C.K.|Shannon Hartman,1,7.8
Louis D'Esposito,2,7.1
Louis Leterrier,5,6.32
Louis Leterrier|Corey Yuen Kwai,1,6.5
Louis Malle,6,6.733333333333332
Louis Morneau,4,5.075
Lowell Dean,2,4.25
Luc Besson,7,6.171428571428572
Luca Bercovici,1,3.6
Luca Guadagnino,1,5.8
Lucas Belvaux,1,6.0
Lucien Castaing-Taylor|Verena Paravel,1,6.0
Lucifer Valentine,2,2.7
Lucky McKee,3,5.7
Lucky McKee|Chris Sivertson,1,5.0
Lucky McKee|Trygve Allister Diesen,1,6.3
Lucy Walker,2,7.85
Luigi Cozzi,2,3.1
Luis Berdejo,1,5.2
Luis BuÃ±uel,1,6.9
Luis CÃ¡mara,1,4.2
Luis Llosa,3,5.433333333333333
Luis Mandoki,5,5.94
Luis Piedrahita|Rodrigo SopeÃ±a,1,6.3
Luis Prieto,2,4.7
Luis Valdez,1,6.9
Lukas Moodysson,3,6.133333333333333
Luke Greenfield,4,5.7749999999999995
Luke Matheny,1,4.9
Luke Moran,1,5.9
Lynn Shelton,4,5.725
Lynne Ramsay,3,7.166666666666667
LÃ©a Pool,1,6.8
M. Night Shyamalan,9,5.800000000000001
Mabrouk El Mechri,1,4.8
Mac Carter,1,5.1
Maciej Pieprzyca,1,7.3
Maclain Nelson,1,6.5
Madellaine Paxson,1,7.4
Madhur Bhandarkar,1,4.9
Madonna,1,5.8
Maggie Carey,1,5.6
Maggie Greenwald,2,4.8
Mahiro Maeda,2,7.2
Mahsun KÄ±rmÄ±zÄ±gÃ¼l,1,6.6
Mairzee Almas|Nick Copus|Robert Lieberman,1,5.5
Majid Majidi,1,6.8
Makinov,1,4.9
Makoto Kamiya,1,6.2
Maksim Korostyshevsky,1,4.9
Malcolm D. Lee,7,6.128571428571428
Malcolm Venville,2,5.6
Malek Akkad,1,4.7
Malik Bader,1,5.5
Malik Bendjelloul,1,7.9
Mamat Khalid,1,3.4
Mamoru Hosoda|Shigeyasu Yamauchi,1,6.0
Manfred Wong|Raymond Yip Wai-Man,1,6.5
Manny Coto,2,4.6
Manny Rodriguez,4,6.65
Manny Rodriguez|Jay Lavender,1,7.0
Manuel Carballo,2,5.8
Manuel Sicilia,1,5.3
Marc Abraham,2,5.65
Marc Bauder,1,6.6
Marc Caro,1,4.5
Marc Erlbaum,1,5.2
Marc Evans,2,6.800000000000001
Marc Forster,8,6.6499999999999995
Marc Furmie,1,4.6
Marc Klein,1,5.1
Marc Lawrence,4,5.675000000000001
Marc Rocco,2,6.1
Marc SchÃ¶lermann,1,5.9
Marc Webb,3,6.766666666666666
Marcel Langenegger,1,5.8
Marcel Sarmiento|Gadi Harel,1,4.9
Marco Bellocchio,1,5.3
Marco Brambilla,3,5.7
Marco Kreuzpaintner,2,6.800000000000001
Marco Polo Constandse,1,6.7
Marco Ponti,1,5.2
Marco Ristori,1,2.9
Marco Schnabel,1,4.5
Marcos Efron,1,5.1
Marcos Siega,3,5.466666666666666
Marcus Adams,2,4.4
Marcus Dunstan,2,6.0
Marcus Graves,1,4.0
Marcus Nispel,5,5.359999999999999
Marcus Raboy,1,6.5
Marcus Warren,1,4.8
Marek Kanievska,1,5.9
Margarethe von Trotta,1,6.8
Maria Lease,1,5.6
Maria Sole Tognazzi,1,5.4
Mariah Carey,1,5.5
Marianna Palka,1,5.6
Mariano Barroso,1,6.1
Marielle Heller,1,6.8
Marilyn Agrelo,1,4.9
Marilyn Fox,1,6.8
Marina Rice Bader,1,4.2
Marina Zenovich,1,6.7
Marina de Van,1,4.0
Mario Bava,1,6.7
Mario Philip Azzopardi,1,6.7
Mario Van Peebles,4,5.225
Marius Holst,1,6.6
Marjane Satrapi,1,6.0
Mark A. Lewis,1,4.7
Mark A. Walsh,1,7.5
Mark A.Z. DippÃ©,4,5.300000000000001
Mark A.Z. DippÃ©|Kyung Ho Lee,1,5.6
Mark Achbar|Jennifer Abbott,1,7.1
Mark Andrews|Andrew Jimenez,1,7.1
Mark Andrews|Steve Purcell|Brenda Chapman,1,6.6
Mark Atkins,4,3.25
Mark Baldo,1,4.9
Mark Burton|Richard Starzack,1,6.9
Mark Caballero|Seamus Walsh,1,5.4
Mark Christopher,1,5.5
Mark Christopher Covino|Jeff Howlett,1,7.1
Mark Cousins,1,9.2
Mark DiSalle|David Worth|Jean-Claude Van Damme,1,6.2
Mark Dindal,3,6.533333333333334
Mark Duplass|Jay Duplass,1,5.9
Mark Edwin Robinson,1,4.2
Mark Fergus,1,6.6
Mark Goldblatt,2,5.15
Mark Griffiths,1,4.7
Mark Hartley,3,5.933333333333334
Mark Helfrich,1,5.5
Mark Henn,1,7.5
Mark Herman,4,6.199999999999999
Mark Illsley,1,5.3
Mark Joffe,1,5.7
Mark Jones,1,5.5
Mark L. Lester,6,5.916666666666667
Mark Levin,1,7.0
Mark Levinson,1,6.9
Mark Linfield|Alastair Fothergill,1,6.3
Mark Mann,1,4.8
Mark McQueen,1,4.8
Mark Mori,1,7.0
Mark Mylod,3,6.133333333333333
Mark Neale,2,7.65
Mark Neveldine,1,4.5
Mark Neveldine|Brian Taylor,3,5.3999999999999995
Mark Osborne,1,7.5
Mark Osborne|John Stevenson,1,6.8
Mark Palansky,1,6.4
Mark Pavia,1,5.0
Mark Pellington,4,6.125
Mark Piznarski,2,6.05
Mark Quod,2,3.8000000000000003
Mark Raso,1,6.6
Mark Robson,4,6.225
Mark Romanek,2,6.550000000000001
Mark Rosman,6,5.533333333333334
Mark Rydell,4,6.125
Mark Steven Johnson,5,5.58
Mark Tarlov,1,6.2
Mark Tonderai,2,5.449999999999999
Mark Waters,8,5.975
Mark Webber,1,5.7
Mark Young,1,4.9
Markus Goller,1,7.0
Markus Imhoof,1,6.7
Marleen Gorris,1,5.9
Marlon Brando,1,6.1
Marshall Brickman,1,6.0
Marshall Cook,1,5.2
Marshall Curry,1,7.2
Marshall Herskovitz,1,6.6
Martha Coolidge,6,5.833333333333333
Martha Holmes|Simon Blakeney|Stephen Lyle,1,7.0
Martin Barnewitz,1,5.1
Martin Brest,5,6.220000000000001
Martin Campbell,9,6.144444444444444
Martin Davidson,1,6.9
Martin Gero,1,6.2
Martin Guigui,1,5.4
Martin Hynes,1,6.3
Martin Koolhoven,1,6.8
Martin Lawrence,1,6.3
Martin McDonagh,3,6.866666666666666
Martin Ritt,5,6.12
Martin Rosen,2,7.15
Martin Scorsese,29,6.958620689655172
Martin Scorsese|Michael Henry Wilson,1,8.5
Martin Sheen,1,5.5
Martin Weisz,2,5.9
Martin Wood,1,6.6
Marty Callner,3,7.166666666666667
Marty Callner|Dane Cook,1,7.1
Martyn Burke,2,5.8
Martyn Pick,1,5.5
Marv Newland,1,5.6
Marvin J. Chomsky,1,6.0
Marvin Kren,1,5.4
Mary Agnes Donoghue,1,5.2
Mary Harron,4,6.275
Mary Lambert,5,5.5200000000000005
Mary Stuart Masterson,1,5.6
Marya Cohn,1,6.2
Masami Hata|William T. Hurtz,1,6.8
Masamitsu Hidaka,1,5.9
Masaya Fujimori,1,6.6
Masayuki Ochiai,1,5.4
Massy Tadjedin,1,6.1
Mat Whitecross,1,6.8
Mat Whitecross|Michael Winterbottom,1,6.3
Mateo Gil,1,6.7
Mathieu Kassovitz,2,5.6
Matt Aselton,1,5.6
Matt Berman,1,5.1
Matt Bettinelli-Olpin|David Bruckner|Tyler Gillett|Justin Martinez|Glenn McQuaid|Joe Swanberg|Chad Villella|Ti West|Adam Wingard|Radio Silence,1,5.8
Matt Bettinelli-Olpin|Tyler Gillett,1,4.5
Matt Brown,1,7.1
Matt Checkowski|Kurt Mattila,1,5.3
Matt Codd,1,3.9
Matt Drummond,1,4.3
Matt Jespersen|Maclain Nelson,1,4.4
Matt Johnson,1,6.2
Matt Lang,1,6.9
Matt Maiellaro|Dave Willis,1,6.6
Matt Osterman,1,4.2
Matt Piedmont,1,5.4
Matt Reeves,4,6.199999999999999
Matt Ross,1,6.1
Matt Shakman,1,4.8
Matt Walsh,1,6.0
Matt Williams,1,6.6
Matt Winn,1,4.2
Matteo Garrone,2,5.7
Matthew A. Brown,1,4.8
Matthew Akers,2,6.95
Matthew Arnold,1,5.2
Matthew Bright,3,5.7
Matthew Chapman,1,5.7
Matthew Cooke,1,6.5
Matthew Diamond,2,5.949999999999999
Matthew Hastings,1,4.4
Matthew Heineman,1,7.5
Matthew Hope,1,5.7
Matthew Leutwyler,2,5.8
Matthew O'Callaghan,1,5.8
Matthew O'Callaghan|Todd Wilderman,1,5.6
Matthew Parkhill,2,5.1
Matthew Robbins,3,6.666666666666667
Matthew Ryan Hoge,1,6.4
Matthew Saville,1,5.1
Matthew Spradlin,1,4.1
Matthew Vaughn,5,7.12
Matthew Warchus,1,7.7
Matthew Weiner,1,4.9
Matthias Hoene,1,5.6
Matthias SchweighÃ¶fer,1,5.6
Matthijs van Heijningen Jr.,1,6.0
Matty Beckerman,1,4.6
Maurice Devereaux,2,4.85
Maurice Joyce,1,5.4
Mauro Lima,2,6.65
Max Giwa|Dania Pasquini,3,5.733333333333333
Max Joseph,1,6.2
Max Lang|Jakob Schuh,1,6.6
Max Lang|Jan Lachauer,1,6.3
Max Mayer,2,5.9
Max Nichols,1,6.3
Max Winkler,1,5.7
